Filename,Class Label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,f150,f151,f152,f153,f154,f155,f156,f157,f158,f159,f160,f161,f162,f163,f164,f165,f166,f167,f168,f169,f170,f171,f172,f173,f174,f175,f176,f177,f178,f179,f180,f181,f182,f183,f184,f185,f186,f187,f188,f189,f190,f191,f192,f193,f194,f195,f196,f197,f198,f199
1.png,2,50.55746841,0,0,0,0,0,0,0,414.8794861,0,87.24217224,0,0,0,0,0,0,7.493517876,0,0,281.8399048,46.5036087,203.6408539,297.0385742,0,150.1186676,0,90.43144226,0,0,175.1844482,1.797693968,0,0,207.9393768,382.0281372,82.5813446,309.839447,0,0,142.0384064,0,190.4867249,183.296814,134.1037598,222.6287231,171.6937408,0,0,54.69566727,0,0,168.7077026,0,0,0,217.9889374,0,221.6451569,189.6061707,0,0,0,0,0,275.0488281,294.8463745,0,267.1911621,0,0,57.23071671,0,223.2895203,360.276062,74.34111786,0,82.3624649,0,333.358429,48.63473129,255.5201721,32.6689949,0,0,0,201.993866,139.0023041,347.032135,0,0,0,0,0,0,0,46.44293594,0,38.10527802,204.9520721,66.55323029,269.4102783,0,164.4268646,314.8623657,0,154.7082062,139.5033722,363.940033,403.3678589,73.98122406,0,139.1705627,396.030304,16.80602455,81.128479,345.2546387,57.08322906,142.4611816,357.0654907,391.4137268,0,13.00457764,0,253.0517883,183.8276672,0,9.182787895,0,146.8939819,0,0,270.4788208,73.31066895,15.78118706,0,399.5076294,0,0,0,0,124.9632034,0,0,0,200.6282196,0,293.8396301,1.394929528,0,274.5339355,0,0,0,0,0,109.2670059,114.9827118,0,10.54534721,0,0,21.48182487,0,358.3074036,307.0360413,0,0,19.39682961,0,0,66.21914673,0,0,5.561553478,579.1931763,302.6126404,0,0,20.51834869,0,251.3756714,0,0,341.1023254,0,414.6455078,324.6193237,0,22.08818245,316.2716675,0,239.5770111,277.8345337,205.7763977,0,0,0,0,91.43869781
10.jpg.png,2,125.2560272,0,0,0,0,0,48.98912048,0,1736.242432,0,438.7399902,149.4851379,0,0,0,0,0,0,0,0,1258.151978,403.4737549,841.9509888,1212.185547,0,599.1503906,0,417.3987427,0,0,764.2333984,107.7835922,0,55.76401138,867.2809448,1439.754761,279.7173462,1196.320679,0,0,730.3074951,0,810.0044556,844.0445557,529.2889404,893.1843872,667.1642456,0,0,246.3284912,0,0,697.0974731,0,0,0,990.3991089,0,1093.039551,809.302063,0,0,0,0,0,1152.681763,1230.65979,0,1127.182007,0,0,320.7932129,0,872.4951782,1426.716431,277.7141113,0,310.3478699,0,1424.195313,10.84516048,979.4372559,199.3135223,0,0,0,818.635437,602.0158081,1526.22168,0,0,0,0,0,0,0,332.8243408,0,221.6684265,804.4782104,366.1539307,1062.159668,0,774.3063965,1199.489624,0,566.0452881,468.0622864,1521.122314,1749.835083,230.1760712,0,535.5874634,1628.110107,177.4819489,267.7520752,1580.384521,414.5977783,676.8499146,1482.718506,1703.334106,0,0,0,1046.441284,630.9064941,0,174.619873,0,570.562439,0,0,1079.794678,503.5531616,4.53549242,0,1575.920898,0,0,0,0,559.432251,0,0,0,988.2261963,0,1282.325073,0,0,1083.717407,0,0,0,0,0,509.2489014,514.5368652,0,0,0,0,99.33820343,0,1438.201416,1170.559204,0,0,28.01887321,0,0,274.6414795,0,0,120.2488022,2458.180664,1335.197754,0,0,0,3.66125226,1058.41272,0,0,1393.398926,0,1628.162109,1263.077759,0,170.6799774,1317.33374,0,1000.075012,1118.496948,1030.366699,0,0,0,0,297.4831238
10.png,2,50.16060638,0,0,0,0,0,0,0,435.2359924,0,94.64250946,3.476373434,0,0,0,0,0,2.584200382,0,0,300.9931641,54.08561707,215.4411011,311.5102539,0,155.0910492,0,95.07222748,0,0,185.8829956,4.569233418,0,0,218.2416687,396.8824768,83.4851532,325.2002563,0,0,152.8203125,0,200.5239868,196.1720734,138.684021,232.881073,179.579895,0,0,61.26873398,0,0,177.2667999,0,0,0,232.6013489,0,236.0082092,198.685379,0,0,0,0,0,284.9833069,310.3821716,0,280.6477051,0,0,64.90729523,0,232.7661743,376.0014343,77.30162811,0,83.74757385,0,350.2200012,44.61778259,263.4451599,36.21653366,0,0,0,210.5427094,150.7040253,368.2070618,0,0,0,0,0,0,0,50.61436844,0,41.81118393,216.4811554,74.46117401,282.4866333,0,176.1963196,326.2805176,0,159.927948,144.033905,383.7802429,425.4374695,74.41319275,0,146.2016144,415.1845398,22.02838516,80.85005188,365.1347046,65.13425446,150.1671448,375.3268738,412.799408,0,10.99305534,0,265.0486755,187.3760223,0,16.22173882,0,155.1939087,0,0,281.7826843,83.12552643,13.63274384,0,416.901947,0,0,0,0,133.8398895,0,0,0,213.6958771,0,309.9305115,0,0,285.6559143,0,0,0,0,0,115.8293228,123.9721832,0,0.925803423,0,0,24.91296959,0,373.6239014,319.4443359,0,0,18.27128029,0,0,68.4860611,0,0,8.770362854,610.9642944,319.5756226,0,0,18.70278549,0,264.3514404,0,0,358.4824524,0,431.8903503,337.9304199,0,26.70276451,330.4709778,0,251.8863983,288.0621338,220.8894806,0,0,0,0,93.7956543
100.png,2,63.72072983,0,0,0,0,0,0,0,588.4391479,0,138.3164978,0.832891107,0,0,0,0,0,0,0,0,420.6968994,100.3244705,302.6618042,412.4358215,0,213.732132,0,129.9683685,0,0,259.6729431,0,0,0,305.0023193,517.2722168,102.347847,425.4503174,0,0,221.2929993,0,259.3703918,266.940094,173.3720551,299.3028564,235.3869934,0,0,71.71579742,0,0,237.1539307,0,0,0,323.715332,0,315.9595337,291.0336914,0,0,0,0,0,385.1261292,412.1440125,0,358.335144,0,0,116.0611801,0,308.396759,517.347168,104.7238388,0,100.2016678,0,471.2315063,42.5197525,353.0629578,45.49499512,0,0,0,284.3320923,195.0762939,523.8190308,0,0,0,0,0,0,0,73.83351135,0,66.02909851,273.4034729,105.3281174,383.3124695,0,253.6070862,427.7549438,0,206.0598602,184.1333771,513.6949463,588.626709,85.23365021,0,193.8645477,552.6236572,50.75104141,105.7869568,507.1439819,91.91088104,219.3602448,501.1784668,563.0390015,0,15.7543869,0,373.7150269,238.688797,0,32.82357788,0,222.0279999,0,0,375.4465027,108.3310623,0,0,553.1245117,0,0,0,0,173.1698151,0,0,0,303.7182922,0,429.4501038,0,0,368.6304016,0,0,0,0,0,139.8250427,171.5596466,0,0,0,0,39.97483444,0,503.8840637,418.339325,0,0,11.90505695,0,0,88.24324799,0,0,14.43058872,844.2952881,422.1300964,0,0,14.91569901,0,369.8147583,0,0,476.1296997,0,587.2994385,444.1530151,0,61.27726364,442.8392334,0,345.1455994,389.1006775,304.4339905,0,0,0,0,117.3817215
10091.jpg,2,64.48460388,0,0,0,0,0,37.36871338,0,1080.826782,0,276.387207,124.9251785,0,0,0,0,0,0,0,0,821.9725952,267.8748169,505.7619324,747.1607666,0,360.6929932,0,289.5047302,0,0,468.9198914,90.89424133,0,67.66564178,532.2318726,867.6459961,156.2164764,737.1165161,0,0,485.9976807,0,539.0563965,536.1311035,319.3614197,559.5889282,391.1871948,0,0,166.8269958,0,0,432.3781128,0,0,0,615.1742554,0,719.2818604,489.1819458,0,0,0,0,0,722.2942505,770.4935303,0,703.9693604,0,0,249.6876373,0,543.1240845,868.0082397,187.4244995,0,171.3171082,0,911.2155151,0,587.5673828,145.041214,0,0,0,523.9564209,360.8342285,989.2374878,0,0,0,0,0,0,0,235.3827362,0,174.7534027,467.9176331,216.7121735,641.3778076,0,475.961792,733.1853638,0,359.5916443,278.0762024,949.6165161,1106.923096,115.3058472,0,325.5329285,1006.038025,135.9933624,163.1825256,1031.303101,312.317627,437.026062,927.548645,1091.154419,0,0,0,651.9979248,395.2476501,0,155.2794037,0,330.5264587,0,0,651.1445923,377.9957581,2.541216373,0,954.5549927,0,0,0,0,338.4918518,0,0,0,677.6064453,0,798.0830688,0,0,698.677124,0,0,0,0,0,324.4992065,358.5027161,0,0,0,0,48.48995209,0,861.3469849,693.9655762,0,0,0,0,0,185.3075256,0,0,98.15644073,1541.976196,880.5916138,0,0,0,29.4535141,670.637085,0,0,843.8589478,0,971.1541138,763.9307861,0,127.0009766,835.1473999,0,649.6436157,693.1018677,690.640564,0,0,0,0,159.9160156
101.png,2,128.8933258,0,0,0,0,0,44.53024673,0,1693.197266,0,426.7303162,84.83815765,0,0,0,0,0,0,0,0,1219.00293,372.368988,854.5187988,1181.182495,0,589.2522583,0,388.4405823,0,0,763.5356445,66.52300262,0,12.98656082,868.9448853,1444.312378,272.5963135,1193.431885,0,0,690.3644409,0,767.7855225,821.477478,516.8574219,845.8463135,673.2885132,0,0,238.323349,0,0,695.0617676,0,0,0,962.2579956,0,998.3018799,802.5387573,0,0,0,0,0,1094.170898,1204.654785,0,1074.405518,0,0,313.7149353,0,863.8447266,1427.54541,266.5091553,0,294.606842,0,1364.243286,57.71499252,985.3638306,160.1845856,0,0,0,793.8572388,588.1223145,1502.584351,0,0,0,0,0,0,0,288.307373,0,188.9442444,803.6085815,369.1734924,1069.026001,0,768.7732544,1185.915527,0,555.1881104,468.5350952,1505.066406,1710.562988,248.4571686,0,531.7507935,1599.790283,172.8145142,267.1052856,1505.310547,349.3983765,643.508606,1445.329224,1647.498291,0,0,0,1030.503662,611.4320068,0,139.6832123,0,605.1558838,0,0,1065.855591,426.6052246,0,0,1560.513306,0,0,0,0,544.5075684,0,0,0,902.6029663,0,1243.568237,0,0,1040.553101,0,0,0,0,0,461.4862366,503.9657593,0,0,0,0,126.5903168,0,1429.775635,1183.009399,0,0,34.54299545,0,0,260.0948486,0,0,104.2928162,2415.595215,1246.922119,0,0,0,0,1043.154175,0,0,1385.302368,0,1634.880493,1248.92395,0,173.1488647,1263.56897,0,976.2332153,1084.95874,954.3568726,0,0,0,0,297.1676331
10107.jpg,2,35.13099289,0,0,0,0,0,16.68983459,0,561.0588379,0,139.6988525,44.97649384,0,0,0,0,0,0,0,0,416.8115845,127.1986771,268.9243164,381.4490356,0,190.5493774,0,137.4456635,0,0,250.0834656,35.96512604,0,24.91355896,283.5750427,466.1603699,86.74016571,383.5897827,0,0,235.9568329,0,271.366333,273.2807617,169.8330078,271.0362244,209.6454773,0,0,92.59625244,0,0,220.8162689,0,0,0,320.1235962,0,342.0744324,259.8223877,0,0,0,0,0,355.4675903,402.5541382,0,358.7770996,0,0,117.9764633,0,278.2129822,454.7294617,86.6214447,0,91.82754517,0,453.2330322,6.121226311,309.7530823,63.14377594,0,0,0,264.4282837,195.0313568,503.5312195,0,0,0,0,0,0,0,109.033577,0,78.03327179,254.0852814,111.4731903,341.942688,0,249.6154022,388.2611694,0,179.5883789,146.8390808,497.2045898,563.4859619,69.54039764,0,166.3328552,523.6981201,69.68804932,88.9765625,510.202179,126.8908386,217.8031158,476.8299866,551.5352783,0,0,0,330.4281921,193.8325348,0,67.37494659,0,184.0130157,0,0,349.8277893,169.6549835,5.005764484,0,502.7412109,0,0,0,0,178.0886383,0,0,0,316.2991638,0,404.0572205,0,0,345.5656738,0,0,0,0,0,156.8396606,177.8948212,0,0,0,0,38.09126282,0,456.6249695,371.8739319,0,0,5.358364105,0,0,87.24012756,0,0,41.53285599,797.041626,434.0884094,0,0,0,0,342.1601563,0,0,451.0469971,0,516.6789551,399.6643372,0,62.85668945,417.3435364,0,324.6253662,353.5066223,334.2016296,0,0,0,0,88.68328857
10192.jpg,2,88.78408051,0,0,0,0,0,41.96619797,0,1340.828369,0,340.1203003,140.5940552,0,0,0,0,0,0,0,0,1003.19696,328.7773743,637.1028442,926.6598511,0,452.9020386,0,347.5923462,0,0,585.1473389,105.6592178,0,71.67935944,662.237915,1087.280396,201.6660767,913.7297363,0,0,586.1931763,0,657.5265503,662.2965088,405.8619385,689.7536011,496.227356,0,0,202.2384796,0,0,536.7869263,0,0,0,761.4504395,0,872.8492432,611.8079834,0,0,0,0,0,884.9998779,952.6767578,0,875.055603,0,0,291.6568298,0,672.8320313,1080.478271,223.191803,0,224.3624725,0,1120.46228,0,738.9954834,174.5732727,0,0,0,644.6018677,456.1896973,1208.773315,0,0,0,0,0,0,0,280.9810486,0,205.1138611,588.9911499,270.2513733,803.0011597,0,591.8926392,913.9403076,0,443.6287842,348.802887,1173.63147,1365.788818,154.9513397,0,408.2159424,1248.653198,159.6316376,202.1289215,1263.779663,365.5304871,532.3998413,1153.502319,1338.914063,0,0,0,809.6099243,483.3057556,0,176.3901825,0,417.011261,0,0,815.5567017,444.4208069,3.102915287,0,1190.294922,0,0,0,0,425.0857849,0,0,0,819.5964355,0,989.1575928,0,0,854.0594482,0,0,0,0,0,400.0179138,428.2400513,0,0,0,0,69.10074615,0,1081.329712,870.7350464,0,0,0,0,0,219.8477173,0,0,113.2046127,1903.833252,1074.619385,0,0,0,26.75653839,823.8700562,0,0,1054.807495,0,1218.34021,959.7542114,0,150.5252533,1029.474121,0,794.4864502,858.2937622,835.835144,0,0,0,0,207.2326813
102.png,2,59.80487823,0,0,0,0,0,0,0,505.1893005,0,116.6901627,5.264487267,0,0,0,0,0,0,0,0,369.0440674,97.64120483,265.40979,355.5909424,0,191.5949402,0,109.1558151,0,0,226.2419434,3.710202694,0,0,262.9388428,438.513092,82.5766983,363.276062,0,0,195.8766022,0,222.1568909,231.2688446,142.8834381,259.9985046,199.2237701,0,0,56.34318924,0,0,204.9455719,0,0,0,283.2281494,0,280.2541504,250.9747314,0,0,0,0,0,334.6721497,352.4119568,0,314.6142273,0,0,109.8792648,0,261.8075256,443.3102417,86.04338074,0,77.67747498,0,409.77005,30.3521328,298.8482056,41.34716415,0,0,0,245.2644653,166.6949921,456.1015625,0,0,0,0,0,0,0,66.88798523,0,56.30308533,227.5961151,92.52005768,332.0255737,0,223.3358917,362.6097107,0,176.8340607,156.013855,442.2808838,512.2942505,67.85626984,0,162.8201599,468.4593811,44.70318222,85.57253265,448.1213989,85.74124146,194.9440155,431.8900452,483.9473572,0,11.54293919,0,328.6080017,197.6763611,0,31.56868362,0,183.517868,0,0,312.3258972,99.16300201,0,0,473.2973633,0,0,0,0,147.4090881,0,0,0,274.5324707,0,371.1522522,0,0,316.0729065,0,0,0,0,0,122.1505127,151.7230377,0,0,0,0,31.39514732,0,437.0140991,355.3770447,0,0,5.382749557,0,0,66.2281723,0,0,19.32976341,729.3284912,367.512146,0,0,6.784974575,0,325.7221069,0,0,406.661438,0,498.0240173,378.3883972,0,60.04264832,380.0350342,0,298.499054,338.8427124,269.7262573,0,0,0,0,101.1863403
10293.jpg,2,37.33465576,0,0,0,0,0,9.1820755,0,470.5468445,0,114.5093994,28.77880287,0,0,0,0,0,0,0,0,338.3440552,96.57505035,231.2513885,323.6254883,0,157.9181976,0,109.1777573,0,0,204.5133667,23.7227726,0,3.813654661,235.748764,401.0342407,76.6649704,328.8121948,0,0,187.9388123,0,216.6974182,225.0318604,148.0275421,231.9823608,184.7551727,0,0,71.9238205,0,0,191.2946777,0,0,0,267.04245,0,278.2018127,215.4294434,0,0,0,0,0,295.7924805,340.6490784,0,302.4677734,0,0,88.94350433,0,241.0554047,390.5387573,71.02774811,0,84.79930878,0,375.1424866,18.15428925,266.3227539,46.18327332,0,0,0,219.0475311,171.4801788,407.3641968,0,0,0,0,0,0,0,82.72628021,0,53.59406281,218.6863251,96.79055786,290.7930603,0,207.2476501,329.6584167,0,153.2374725,128.9896698,414.7695007,468.2206421,69.95143127,0,151.4242096,441.8095093,46.97849655,76.18134308,415.3253784,98.45083618,176.5806427,404.7026062,455.0229797,0,0,0,276.0532532,170.8357239,0,45.24465942,0,160.6035004,0,0,293.9584656,125.4330521,5.875600815,0,431.7170105,0,0,0,0,151.4589233,0,0,0,250.7735748,0,336.7743225,0,0,291.3451843,0,0,0,0,0,133.0677338,142.6330109,0,0,0,0,32.78282166,0,388.8713074,324.7109375,0,0,10.24145794,0,0,74.96175385,0,0,29.31289101,662.9812012,353.4758606,0,0,0,0,281.4931946,0,0,381.8254395,0,440.563446,343.7188416,0,43.90011597,348.4954529,0,267.3977966,294.5768127,268.1103516,0,0,0,0,81.4154892
